,travel_time_min,trip_distance_km,num_stops,start_hour,mean_dist_from_cbd_km,mean_sa2_density
count,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0
mean,32.3578811369509,15.877673126614987,22.24031007751938,13.537424633936263,10.201858282772731,1155.6752358275396
std,11.852457921937217,8.272561924157008,9.21644509284499,4.484452034287452,5.043641770548847,398.0994518482372
min,10.0,4.124,2.0,5.75,0.19572567091241577,533.1071428571429
25%,27.0,11.1,17.0,9.483333333333334,6.619486749730236,879.6666666666666
50%,32.0,14.513,22.0,13.683333333333334,10.593197002541757,1171.9130434782608
75%,37.0,19.464,28.0,17.083333333333332,14.62595396870487,1398.1142857142856
max,90.0,63.491,43.0,23.75,28.833241222942828,2468.8
