Comparison,Mean_RMSE_A,Mean_RMSE_B,t_statistic,p_value,Result_at_alpha_0_05
Linear Regression vs Decision Tree,4.142271310997609,1.6720481220389503,30.500644332484672,6.883500282955372e-06,significant
Linear Regression vs Random Forest,4.142271310997609,1.4094954532912354,49.09890734635855,1.029588959838604e-06,significant
Decision Tree vs Random Forest,1.6720481220389503,1.4094954532912354,5.23338310223733,0.006368953587121555,significant
