,Linear Regression,Decision Tree,Random Forest
fold_1,4.306641310342501,2.1432830685603013,1.7040934855786558
fold_2,3.954103170997261,1.394737105851498,1.2184872602178858
fold_3,3.9449427257107756,1.4854495356508177,1.3292290062315126
fold_4,4.400149262434625,1.8535299088244017,1.571687822731005
fold_5,4.105520085502879,1.483240991307733,1.2239796916971168
